State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,ST,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Age_Group_0_29,Age_Group_30_49,Age_Group_50,sex_ratio,literacy_rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,1369597,1371642,1483347,856350,626997,488596,495794,2399901,275970,15422,1377,25510,617,322,1536378,704551,422522,100.0,100.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,2064495,2016653,2310960,1338474,972486,583135,154127,3599372,443456,20463,932,341,1417,309,2189396,1104565,739612,100.0,100.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,2090204,2083860,2667878,1484794,1183084,785760,159165,3737588,397870,24129,867,253,1322,358,2148179,1159053,807430,100.0,100.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,2569688,2584608,3288577,1716933,1571644,945269,213195,4983330,77777,77825,738,413,4149,403,2724328,1478954,948122,100.0,100.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,2440521,2447292,2960441,1634726,1325715,957407,247089,4217597,559770,89763,764,323,3282,332,2583462,1371811,928462,100.0,100.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,2018575,1924748,2892155,1542688,1349467,247927,48937,2046051,1713405,87522,11446,1268,19560,1929,2249130,1068243,542669,100.0,100.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1880800,1895469,2206829,1257238,949591,709757,106745,3491139,244723,24979,2086,332,312,115,1940234,1031735,728494,100.0,100.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,1390988,1406382,1630234,901640,728594,462896,765565,2595321,158887,33463,655,217,459,539,1530602,774583,477955,100.0,100.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,2267375,2250023,3009718,1598959,1410759,871063,132464,4023678,307043,145598,1393,863,6320,906,2340943,1284630,833959,100.0,100.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,2039227,2014236,2127161,1246369,880792,737945,82831,3328380,670737,33165,737,255,2235,434,2368684,1053618,609027,100.0,100.0
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,2050386,2002642,1940646,1158386,782260,708954,364269,3673456,334172,21345,658,290,388,267,2360874,1027525,637430,100.0,0.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,1523030,1510258,1637137,953406,683731,537947,168985,2637313,342449,34301,1309,554,457,217,1735769,779738,509368,100.0,100.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,1759772,1729037,2001019,1160757,840262,637385,394279,3249231,188646,35025,937,241,250,132,1932349,897137,651748,100.0,100.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,1250641,1300694,1389810,790214,599596,371074,192941,2123426,391596,19653,2357,1847,542,146,1399773,676401,437573,100.0,100.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,1714764,1682684,1904435,1107686,796749,787861,151145,3150195,220654,18775,266,97,204,206,1832695,917391,641707,100.0,100.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,1341738,1361376,1495381,857824,637557,255664,166118,2666950,9025,18879,193,77,160,106,1423119,747385,528736,100.0,100.0
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,1161477,1182997,1238388,707503,530885,247728,235556,2299129,16423,17853,380,114,815,183,1206366,666394,451469,100.0,100.0
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,1759281,1753295,2065023,1179790,885233,616102,530656,3273755,197333,31377,1453,253,569,126,1891954,941452,664872,100.0,100.0
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,1964918,1972048,2652389,1379223,1273166,811698,109072,3733191,86142,109120,288,209,1578,211,2051513,1127764,755533,100.0,100.0
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,76948,71278,73174,44027,29147,0,53878,47683,2134,35969,94,50381,95,11738,96630,35018,16414,100.0,0.0
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,38775,39915,38449,21599,16850,0,72400,12333,652,37136,36,452,23,27868,53752,17922,6960,100.0,0.0
